,Title,Published_date,Views,Likes,Dislikes,Comments,Month
409,Machine Learning & Data Science Project - 6 : Python Flask Server (Real Estate Price Prediction),2020-01-01,86720,711,0,290,Jan
410,Machine Learning & Data Science Project - 5 : Model Building (Real Estate Price Prediction Project),2020-01-01,86136,1049,0,192,Jan
411,Machine Learning & Data Science Project - 3 : Feature Engineering (Real Estate Price Prediction),2020-01-01,88934,964,0,82,Jan
412,Machine Learning & Data Science Project - 2 : Data Cleaning (Real Estate Price Prediction Project),2020-01-01,173284,2133,0,215,Jan
413,Machine Learning & Data Science Project - 1 : Introduction (Real Estate Price Prediction Project),2020-01-01,209034,2431,0,78,Jan
414,How to become a data scientist for free? | Step by step approach to become data scientist,2019-12-15,54221,2418,0,237,Dec
415,What is Data Science? | Free Data Science Course | Data Science for Beginners | codebasics,2019-12-10,252556,3556,0,254,Dec
416,Machine Learning Tutorial Python - 16: Hyper parameter Tuning (GridSearchCV),2019-11-23,178596,4399,0,312,Nov
417,Machine Learning Tutorial Python - 15:  Naive Bayes Classifier Algorithm Part 2,2019-11-17,64131,1649,0,269,Nov
418,Machine Learning Tutorial Python - 14: Naive Bayes Classifier Algorithm Part 1,2019-11-16,130128,1948,0,122,Nov
419,"3. Deep Learning Tutorial (Tensorflow2.0, Keras & Python) - Movie Review Classification",2019-10-13,22612,405,0,138,Oct
420,"Channel Update: Hindi Channel, Health, Deep Learning",2019-10-06,3796,101,0,53,Oct
421,50k Subscribers and Channel Update!,2019-06-22,8036,104,0,130,Jun
422,"Deep Learning Tutorial With Python, Tensorflow & Keras - Neural Network For Image Classification",2019-05-27,40495,590,0,204,May
423,"Deep Learning Tutorial Python, Tensorflow And Keras: Introduction and Installation",2019-05-21,25051,411,0,57,May
424,Drinking Raw Goat Milk In India,2019-05-10,9563,132,0,61,May
425,9. For loop [Python 3 Programming Tutorials],2019-05-08,104035,1212,0,62,May
426,21. Generators [Python 3 Programming Tutorials],2019-05-08,19072,260,0,9,May
427,1. Install python on windows [Python 3 Programming Tutorials],2019-05-08,142510,1218,0,45,May
428,12.1 - Install Python Module (using pip) [Python 3 Programming Tutorials],2019-05-08,99858,719,0,52,May
429,13. Working With JSON [Python 3 Programming Tutorials],2019-05-08,72077,960,0,34,May
430,24. Command line argument processing using argparse [Python 3 Programming Tutorials],2019-05-08,29640,490,0,26,May
431,10. Functions [Python 3 Programming Tutorials],2019-05-08,87664,1186,0,55,May
432,8. If Statement [Python 3 Programming Tutorials],2019-05-08,91514,1002,0,72,May
433,5. Lists [Python 3 Programming Tutorials],2019-05-08,107806,1353,0,53,May
434,7. Debug Python code using PyCharm [Python 3 Programming Tutorials],2019-05-08,92460,1004,0,44,May
435,"14. if __name__ == ""__main__"" [Python 3 Programming Tutorials]",2019-05-08,64380,836,0,39,May
436,16. Class and Objects [Python 3 Programming Tutorials],2019-05-08,62713,1007,0,54,May
437,2. Variables in python [Python 3 Programming Tutorials],2019-05-08,165185,1477,0,39,May
438,12. Modules [Python 3 Programming Tutorials],2019-05-08,69085,891,0,29,May
439,25. Decorators [Python 3 Programming Tutorials],2019-05-08,16097,311,0,41,May
440,11. Dictionaries and Tuples [Python 3 Programming Tutorials],2019-05-08,67666,791,0,68,May
441,23. Sets and Frozen Sets [Python 3 Programming Tutorials],2019-05-08,15404,246,0,10,May
442,6. Install PyCharm on Windows [Python 3 Programming Tutorials],2019-05-08,85059,756,0,31,May
443,19. Raise Exception And Finally [Python 3 Programming Tutorials],2019-05-08,21297,268,0,11,May
444,17. Inheritance [Python 3 Programming Tutorials],2019-05-08,32175,506,0,33,May
445,4. Strings [Python 3 Programming Tutorials],2019-05-08,112694,1214,0,58,May
446,20. Iterators [Python 3 Programming Tutorials],2019-05-08,22065,294,0,9,May
447,22. List Set Dict Comprehensions [Python 3 Programming Tutorials],2019-05-08,14822,235,0,5,May
448,15. Exception Handling [Python 3 Programming Tutorials],2019-05-08,48707,659,0,26,May
